variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
Capital Cost|Electricity|Wind|Onshore,"Capital Cost|Electricity|Wind|Onshore represents onshore within the broader context of capital cost > electricity > wind > onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, onshore, wind",Electricity,0.95,The variable represents onshore wind power generation capital costs within the broader context of electricity.,Energy Generation - Renewable,Power Generation,,,
Capital Cost|Liquids|Biomass|w/o CCS,"Capital Cost|Liquids|Biomass|w/o CCS represents w/o ccs within the broader context of capital cost > liquids > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capital, capital cost, ccs, cost, liquids, o, w, w/o ccs",Industry,0.85,The variable represents biomass-based liquid fuel production capital costs without CCS technology within the broader context of industry.,Biomass-based Fuels,Chemicals,,,
Capital Cost|Liquids|Oil,"Capital Cost|Liquids|Oil represents oil within the broader context of capital cost > liquids > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, liquids, oil",Industry,0.95,The variable represents oil refining capital costs within the broader context of industry.,Refineries,Chemicals,,,
Capital Stock,"Capital Stock represents capital stock within the broader context of capital stock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital stock, stock",Industry,0.8,The variable represents capital stock within the broader context of industry.,,,,,
Carbon Sequestration|CCS,"Carbon Sequestration|CCS represents ccs within the broader context of carbon sequestration > ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, sequestration",Industry,0.95,The variable represents CCS technology within the broader context of industry.,CCS Technology,Manufacturing,,,
Carbon Sequestration|CCS|Biomass,"Carbon Sequestration|CCS|Biomass represents biomass within the broader context of carbon sequestration > ccs > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, sequestration",Industry,0.95,The variable represents biomass-based CCS technology within the broader context of industry.,CCS Technology,Manufacturing,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply,"Carbon Sequestration|CCS|Biomass|Energy|Supply represents supply within the broader context of carbon sequestration > ccs > biomass > energy > supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, sequestration, supply",Industry,0.95,The variable represents energy supply from biomass-based CCS technology within the broader context of industry.,CCS Technology,Manufacturing,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity represents electricity within the broader context of carbon sequestration > ccs > biomass > energy > supply > electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, electricity, energy, energy demand, energy sector, energy use, sequestration, supply",Industry,0.95,The variable represents electricity supply from biomass-based CCS technology within the broader context of industry.,CCS Technology,Manufacturing,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids represents liquids within the broader context of carbon sequestration > ccs > biomass > energy > supply > liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, liquids, sequestration, supply",Industry,0.95,The variable represents liquid fuel supply from biomass-based CCS technology within the broader context of industry.,CCS Technology,Manufacturing,,,
Carbon Sequestration|CCS|Fossil,"Carbon Sequestration|CCS|Fossil represents fossil within the broader context of carbon sequestration > ccs > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, fossil, sequestration",Industry,0.95,The variable represents fossil-based CCS technology within the broader context of industry.,CCS Technology,Manufacturing,,,
Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,"Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry represents industry within the broader context of carbon sequestration > ccs > fossil > energy > demand > industry in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, demand, energy, energy demand, energy sector, energy use, fossil, industry, sequestration",Industry,0.95,The variable represents industry energy demand for fossil-based CCS technology within the broader context of industry.,CCS Technology,Manufacturing,,,
