variable,description
Cumulative Capacity|Electricity|Nuclear,"Cumulative Capacity|Electricity|Nuclear represents nuclear within the broader context of cumulative capacity → electricity → nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, cumulative, cumulative capacity, electricity, nuclear"
Cumulative Capacity|Electricity|Oil|w/ CCS,"Cumulative Capacity|Electricity|Oil|w/ CCS represents w/ ccs within the broader context of cumulative capacity → electricity → oil → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, cumulative, cumulative capacity, electricity, oil, w, w/ ccs"
Cumulative Capacity|Electricity|Oil|w/o CCS,"Cumulative Capacity|Electricity|Oil|w/o CCS represents w/o ccs within the broader context of cumulative capacity → electricity → oil → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, cumulative, cumulative capacity, electricity, o, oil, w, w/o ccs"
Cumulative Capacity|Electricity|Solar|PV,"Cumulative Capacity|Electricity|Solar|PV represents pv within the broader context of cumulative capacity → electricity → solar → pv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, cumulative, cumulative capacity, electricity, pv, solar"
Cumulative Capacity|Electricity|Wind|Onshore,"Cumulative Capacity|Electricity|Wind|Onshore represents onshore within the broader context of cumulative capacity → electricity → wind → onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, cumulative, cumulative capacity, electricity, onshore, wind"
Efficiency|Electricity|Biomass|w/o CCS,"Efficiency|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of efficiency → electricity → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, efficiency, electricity, o, w, w/o ccs"
Efficiency|Liquids|Biomass|w/o CCS,"Efficiency|Liquids|Biomass|w/o CCS represents w/o ccs within the broader context of efficiency → liquids → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, efficiency, liquids, o, w, w/o ccs"
Emissions|BC,"Emissions|BC represents bc within the broader context of emissions → bc in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bc, carbon emissions, co2 output, emissions, ghg emissions"
Emissions|BC|AFOLU,"Emissions|BC|AFOLU represents afolu within the broader context of emissions → bc → afolu in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: afolu, bc, carbon emissions, co2 output, emissions, ghg emissions"
Emissions|BC|Energy,"Emissions|BC|Energy represents energy within the broader context of emissions → bc → energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bc, carbon emissions, co2 output, emissions, energy, energy demand, energy sector, energy use, ghg emissions"
Emissions|BC|Energy|Demand|Industry,"Emissions|BC|Energy|Demand|Industry represents industry within the broader context of emissions → bc → energy → demand → industry in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bc, carbon emissions, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, industry"
Emissions|BC|Energy|Demand|Transportation,"Emissions|BC|Energy|Demand|Transportation represents transportation within the broader context of emissions → bc → energy → demand → transportation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bc, carbon emissions, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, mobility, transport, transportation, vehicle demand"
Emissions|BC|Energy|Supply,"Emissions|BC|Energy|Supply represents supply within the broader context of emissions → bc → energy → supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bc, carbon emissions, co2 output, emissions, energy, energy demand, energy sector, energy use, ghg emissions, supply"
Emissions|CH4,"Emissions|CH4 represents ch4 within the broader context of emissions → ch4 in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, ch4, co2 output, emissions, ghg emissions"
Emissions|CH4|AFOLU,"Emissions|CH4|AFOLU represents afolu within the broader context of emissions → ch4 → afolu in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: afolu, carbon emissions, ch4, co2 output, emissions, ghg emissions"
Emissions|CH4|AFOLU|Agriculture,"Emissions|CH4|AFOLU|Agriculture represents agriculture within the broader context of emissions → ch4 → afolu → agriculture in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: afolu, agriculture, carbon emissions, ch4, co2 output, crop demand, emissions, food production, ghg emissions"
